ranking,Youtuber,subscribers,category,channel_type,video_views,Title,Country,video_views_for_the_last_30_days,highest_yearly_earnings,lowest_yearly_earnings,subscribers_for_last_30_days,Population,Latitude,Longitude,date_created,Urban_population
1,T-Series,245000000,Music,Music,228000000000,T-Series,India,2258000000,108400000,6800000,2000000,1366417754,20.593684,78.96288,2006-03-13,471031528
2,"YouTube Movies",170000000,"Film & Animation",Games,0,youtubemovies,"United States",12,0.58,0.04,nan,328239523,37.09024,-95.712891,2006-03-05,270663028
3,MrBeast,166000000,Entertainment,Entertainment,28368841870,MrBeast,"United States",1348000000,64700000,4000000,8000000,328239523,37.09024,-95.712891,2012-02-20,270663028
4,"Cocomelon - Nursery Rhymes",162000000,Education,Education,164000000000,"Cocomelon - Nursery Rhymes","United States",1975000000,94800000,5900000,1000000,328239523,37.09024,-95.712891,2006-09-01,270663028
5,"SET India",159000000,Shows,Entertainment,148000000000,"SET India",India,1824000000,87500000,5500000,1000000,1366417754,20.593684,78.96288,2006-09-20,471031528
7," Kids Diana Show",112000000,"People & Blogs",Entertainment,93247040539," Kids Diana Show","United States",731674000,35100000,2200000,nan,328239523,37.09024,-95.712891,2015-05-12,270663028
8,PewDiePie,111000000,Gaming,Entertainment,29058044447,PewDiePie,Japan,39184000,1900000,117600,nan,126226568,36.204824,138.252924,2010-04-29,115782416
9,"Like Nastya",106000000,"People & Blogs",People,90479060027,"Like Nastya Vlog",Russia,48947000,2300000,146800,100000,144373535,61.52401,105.318756,2016-01-14,107683889
10,"Vlad and Niki",98900000,Entertainment,Entertainment,77180169894,"Vlad and Niki","United States",580574000,27900000,1700000,600000,328239523,37.09024,-95.712891,2018-04-23,270663028
11,"Zee Music Company",96700000,Music,Music,57856289381,"Zee Music Company",India,803613000,38600000,2400000,1100000,1366417754,20.593684,78.96288,2014-03-12,471031528
12,WWE,96000000,Sports,Sports,77428473662,WWE,"United States",714614000,34300000,2100000,600000,328239523,37.09024,-95.712891,2007-05-11,270663028
14,BLACKPINK,89800000,"People & Blogs",Music,32144597566,BLACKPINK,"South Korea",498930000,23900000,1500000,700000,51709098,35.907757,127.766922,2016-06-29,42106719
16,"Sony SAB",83000000,Shows,Entertainment,101000000000,"Sony SAB",India,1657000000,79600000,5000000,1100000,1366417754,20.593684,78.96288,2007-08-04,471031528
17,"5-Minute Crafts",80100000,"Howto & Style",Entertainment,26236790209,"5-Minute Crafts 2.0","United Kingdom",1,0.05,0,nan,66834405,55.378051,-3.435973,2020-07-27,55908316
18,BANGTANTV,75600000,Music,Music,20826993957,BANGTANTV,"South Korea",168290000,8100000,504900,400000,51709098,35.907757,127.766922,2012-12-17,42106719
19,Sports,75000000,nan,Entertainment,0,sports,"United States",16,0.77,0.05,nan,328239523,37.09024,-95.712891,2006-01-30,270663028
20,"Justin Bieber",71600000,Music,Music,30608119724,"Justin Bieber",Canada,176326000,8500000,529000,100000,36991981,56.130366,-106.346771,2007-01-15,30628482
21,"HYBE LABELS",71300000,Music,Music,28634566938,"HYBE LABELS","South Korea",598173000,28700000,1800000,900000,51709098,35.907757,127.766922,2008-06-04,42106719
22,"Zee TV",70500000,Entertainment,Entertainment,73139054467,"Zee TV",India,1707000000,81900000,5100000,900000,1366417754,20.593684,78.96288,2005-12-11,471031528
23,"Pinkfong Baby Shark - Kids' Songs & Stories",68200000,Education,Education,38843229963,"Pinkfong Baby Shark - Kids' Songs & Stories","United States",473387000,22700000,1400000,600000,328239523,37.09024,-95.712891,2011-12-14,270663028
24,"Canal KondZilla",66500000,Music,Music,36775585925,"Canal KondZilla",Brazil,447223000,0,0,nan,212559417,-14.235004,-51.92528,2012-03-21,183241641
25,"ChuChu TV Nursery Rhymes & Kids Songs",65900000,Education,Education,45757850229,"ChuChu TV Nursery Rhymes & Kids Songs",India,420292000,20200000,1300000,500000,1366417754,20.593684,78.96288,2013-02-09,471031528
26,"Shemaroo Filmi Gaane",65600000,Music,Music,28648024439,"Shemaroo Filmi Gaane",India,254961000,12200000,764900,400000,1366417754,20.593684,78.96288,2010-06-11,471031528
27,"Colors TV",64600000,Shows,Entertainment,61510906457,"Colors TV",India,1188000000,57000000,3600000,1100000,1366417754,20.593684,78.96288,2008-06-13,471031528
28,"T-Series Bhakti Sagar",61000000,Music,Music,29533230328,"T- SERIES BHAKTI SAGAR",India,10,0.48,0.03,nan,1366417754,20.593684,78.96288,2018-08-03,471031528
29,"Dude Perfect",59500000,Sports,Sports,16241549158,"Dude Perfect","United States",141200000,6800000,423600,100000,328239523,37.09024,-95.712891,2009-03-17,270663028
30,Movieclips,59500000,"Film & Animation",Film,59316472754,Movieclips,"United States",114668000,5500000,344000,100000,328239523,37.09024,-95.712891,2006-04-28,270663028
